item_id,description,manufacturer_name
034SL1200EG,3/8X12 RETRO RETAINER STRAP UL,ERC
034SL1400EG,3/8X14 RETRO RETAINER STRAP UL,ERC
03504,CUTTER WHEEL FOR 3-1 (4/PACK),REE
035RS0600EG,"1/2 3/8X6"" RETAIN STRAP EG",ERC
035RS0800EG,"1/2 3/8X8"" RETAIN STRAP EG",ERC
035RS1000EG,TWO HOLE RETAINER STRAP,ERC
035RS1200EG,"1/2 3/8X12"" RETAIN STRAP EG",ERC
035RS1400EG,"1/2 3/8X14""RETAIN STRAP EG",ERC
035RS1600EG,"1/2 3/8X16""RETAIN STRAP EG",ERC
035RS1800EG,"1/2 3/8X18""RETAIN STRAP EG",ERC
03612,CUTTER WHEEL FOR 2-1,REE
03677A,"PAD, UP
0370037EG,3/8"""" EYE SOCKET ROD HANGER EG""",ERC
0370050EG,"1/2"" EYE SOCKET ROD HANGER EG",ERC
03706B,"BODY ASSY,BODY ASSY",
03740B,"CARTON, GB",
03741B,"PARTITION, GB",
0390014785,"7051 2"" PTD GRVD 45 ELBOW",ANV
0390014801,7051 21/2 PTD GRVD 45 ELBOW,ANV
0390014827,"7051 3"" PTD GRVD 45 ELBOW",ANV
0390014868,"7051 4"" PTD GRVD 45 ELBOW",ANV
0390014942,"7051 6"" PTD GRVD 45 ELBOW",ANV
0390014967,"7051 8"" PTD GRVD 45 ELBOW",ANV
0390016723,7060 1 PTD GRVD TEE,ANV
0390016749,7060 11/4 PTD GRVD TEE,ANV
0390016764,7060 11/2 PTD GRVD TEE,ANV
0390016806,7060 2 PTD GRVD TEE,ANV
0390016822,7060 21/2 PTD GRVD TEE,ANV
0390016848,7060 3 PTD GRVD TEE,ANV
0390016863,7060 31/2 PTD GRVD TEE,ANV
0390016889,7060 4 PTD GRVD TEE,ANV
0390016905,7060 5 PTD GRVD TEE,ANV
0390016921,7060 6 PTD GRVD TEE,ANV
